Image,URL
Image 1,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20201.85%2040'%3E%3C/svg%3E"
Image 2,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20201.85%2040'%3E%3C/svg%3E"
Image 3,https://proxyway.com/wp-content/uploads/2020/12/twitter-icon-black.png
Image 4,https://proxyway.com/wp-content/uploads/2020/12/facebook-icon-black.png
Image 1,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20201.85%2040'%3E%3C/svg%3E"
Image 2,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20201.85%2040'%3E%3C/svg%3E"
Image 3,https://proxyway.com/wp-content/uploads/2020/12/twitter-icon-black.png
Image 4,https://proxyway.com/wp-content/uploads/2020/12/facebook-icon-black.png
Image 1,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20201.85%2040'%3E%3C/svg%3E"
Image 2,"data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20201.85%2040'%3E%3C/svg%3E"
Image 3,https://proxyway.com/wp-content/uploads/2020/12/twitter-icon-black.png
Image 4,https://proxyway.com/wp-content/uploads/2020/12/facebook-icon-black.png
